UID          PID    PPID  C STIME TTY          TIME CMD
root         272       2  0 15:57 ?        00:00:00 [kworker/11:1H-events_highpri]
root         273       2  0 15:57 ?        00:00:00 [kworker/7:1H-kblockd]
root         274       2  0 15:57 ?        00:00:00 [kworker/17:1H-kblockd]
root         276       2  0 15:57 ?        00:00:00 [kworker/14:1H-kblockd]
root         278       2  0 15:57 ?        00:00:00 [kworker/8:1H-kblockd]
root         279       2  0 15:57 ?        00:00:00 [kworker/2:1H-events_highpri]
root         280       2  0 15:57 ?        00:00:00 [kworker/3:1H-events_highpri]
root         282       2  0 15:57 ?        00:00:00 [kworker/18:1H-events_highpri]
root         283       2  0 15:57 ?        00:00:00 [kworker/19:1H]
root         284       2  0 15:57 ?        00:00:00 [kworker/15:1H]
root         289       2  0 15:57 ?        00:00:00 [kworker/1:1H-kblockd]
root         295       2  0 15:57 ?        00:00:00 [kworker/10:1H-events_highpri]
root         296       2  0 15:57 ?        00:00:00 [kworker/6:1H-kblockd]
root         320       2  0 15:57 ?        00:00:00 [kworker/R-nvme-]
root         321       2  0 15:57 ?        00:00:00 [kworker/R-nvme-]
root         322       2  0 15:57 ?        00:00:00 [kworker/R-nvme-]
root         323       2  0 15:57 ?        00:00:00 [kworker/R-nvme-]
root         361       2  0 15:57 ?        00:00:00 [irq/140-FTCS1000:00]
root         379       2  0 15:57 ?        00:00:00 [spi0]
root         431       2  0 15:57 ?        00:00:00 [jbd2/nvme0n1p4-8]
root         432       2  0 15:57 ?        00:00:00 [kworker/R-ext4-]
root         485       1  0 15:57 ?        00:00:01 /usr/lib/systemd/systemd-journald
root         596       1  0 15:57 ?        00:00:00 /usr/lib/systemd/systemd-udevd
root         648       2  0 15:57 ?        00:00:00 [psimon]
root         715       2  0 15:57 ?        00:00:00 [kworker/12:2-events]
root         832       2  0 15:57 ?        00:00:00 [kworker/R-cfg80]
root         845       2  0 15:57 ?        00:00:00 [kworker/R-crypt]
root         846       2  0 15:57 ?        00:00:00 [irq/161-mei_me]
root         847       2  0 15:57 ?        00:00:01 [irq/162-iwlwifi:default_queue]
root         848       2  0 15:57 ?        00:00:00 [irq/163-iwlwifi:queue_1]
root         849       2  0 15:57 ?        00:00:00 [irq/164-iwlwifi:queue_2]
root         850       2  0 15:57 ?        00:00:00 [irq/165-iwlwifi:queue_3]
root         851       2  0 15:57 ?        00:00:00 [irq/166-iwlwifi:queue_4]
root         852       2  0 15:57 ?        00:00:00 [irq/167-iwlwifi:queue_5]
root         853       2  0 15:57 ?        00:00:00 [irq/168-iwlwifi:queue_6]
root         854       2  0 15:57 ?        00:00:00 [irq/169-iwlwifi:queue_7]
root         855       2  0 15:57 ?        00:00:00 [irq/170-iwlwifi:queue_8]
root         856       2  0 15:57 ?        00:00:00 [irq/171-iwlwifi:queue_9]
root         857       2  0 15:57 ?        00:00:00 [irq/172-iwlwifi:queue_10]
root         858       2  0 15:57 ?        00:00:00 [irq/173-iwlwifi:queue_11]
root         859       2  0 15:57 ?        00:00:00 [irq/174-iwlwifi:queue_12]
root         860       2  0 15:57 ?        00:00:00 [irq/175-iwlwifi:queue_13]
root         861       2  0 15:57 ?        00:00:00 [irq/176-iwlwifi:queue_14]
root         862       2  0 15:57 ?        00:00:00 [irq/177-iwlwifi:exception]
root         866       2  0 15:57 ?        00:00:00 [irq/16-processor_thermal_device_pci]
root         874       2  0 15:57 ?        00:00:01 [kworker/14:2-pm]
root         875       2  0 15:57 ?        00:00:00 [kworker/R-ttm]
root         880       2  0 15:57 ?        00:00:00 [card1-crtc0]
root         881       2  0 15:57 ?        00:00:00 [card1-crtc1]
root         882       2  0 15:57 ?        00:00:00 [card1-crtc2]
root         883       2  0 15:57 ?        00:00:00 [card1-crtc3]
root         972       1  0 15:57 ?        00:00:00 /sbin/mount.ntfs /dev/nvme0n1p3 /mnt/windows -o rw
systemd+    1106       1  0 15:57 ?        00:00:02 /usr/lib/systemd/systemd-oomd
systemd+    1109       1  0 15:57 ?        00:00:01 /usr/lib/systemd/systemd-resolved
systemd+    1110       1  0 15:57 ?        00:00:00 /usr/lib/systemd/systemd-timesyncd
avahi       1179       1  0 15:57 ?        00:00:00 avahi-daemon: running [lisa-MCLG-XX.local]
root        1180       1  0 15:57 ?        00:00:00 /usr/libexec/bluetooth/bluetoothd
message+    1181       1  0 15:57 ?        00:00:03 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gnome-r+    1185       1  0 15:57 ?        00:00:00 /usr/libexec/gnome-remote-desktop-daemon --system
polkitd     1190       1  0 15:57 ?        00:00:01 /usr/lib/polkit-1/polkitd --no-debug
root        1191       1  0 15:57 ?        00:00:00 /usr/libexec/power-profiles-daemon
root        1198       1  0 15:57 ?        00:00:10 /usr/lib/snapd/snapd
root        1203       1  0 15:57 ?        00:00:00 /usr/libexec/accounts-daemon
root        1206       1  0 15:57 ?        00:00:00 /usr/sbin/cron -f -P
root        1210       1  0 15:57 ?        00:00:00 /usr/libexec/switcheroo-control
root        1214       1  0 15:57 ?        00:00:00 /usr/lib/systemd/systemd-logind
root        1216       1  0 15:57 ?        00:00:06 /usr/sbin/thermald --systemd --dbus-enable --adaptive
root        1218       1  0 15:57 ?        00:00:00 /usr/libexec/udisks2/udisksd
avahi       1237    1179  0 15:57 ?        00:00:00 avahi-daemon: chroot helper
root        1239       1  0 15:57 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root        1244       1  0 15:57 ?        00:00:00 /usr/sbin/wpa_supplicant -u -s -O DIR=/run/wpa_supplicant GROUP=netdev
syslog      1258       1  0 15:57 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root        1362       1  0 15:57 ?        00:00:00 /usr/sbin/ModemManager
root        1371       1  0 15:57 ?        00:00:01 /usr/libexec/upowerd
root        1481       2  0 15:57 ?        00:00:00 [irq/179-AudioDSP]
root        1691       1  0 15:57 ?        00:00:00 /usr/sbin/cupsd -l
root        1698       1  0 15:57 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        1715       1  0 15:57 ?        00:00:00 /usr/sbin/gdm3
postgres    1724       1  0 15:57 ?        00:00:00 /usr/lib/postgresql/16/bin/postgres -D /var/lib/postgresql/16/main -c config_file=/etc/postgresql/16/main/postgresql.conf
postgres    1731    1724  0 15:57 ?        00:00:00 postgres: 16/main: checkpointer 
postgres    1732    1724  0 15:57 ?        00:00:00 postgres: 16/main: background writer 
postgres    1734    1724  0 15:57 ?        00:00:00 postgres: 16/main: walwriter 
postgres    1735    1724  0 15:57 ?        00:00:00 postgres: 16/main: autovacuum launcher 
postgres    1736    1724  0 15:57 ?        00:00:00 postgres: 16/main: logical replication launcher 
rtkit       1774       1  0 15:57 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1856       2  0 15:57 ?        00:00:00 [krfcommd]
colord      1902       1  0 15:57 ?        00:00:00 /usr/libexec/colord
cups-br+    2298       1  0 15:57 ?        00:00:00 /usr/sbin/cups-browsed
kernoops    2302       1  0 15:57 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops    2307       1  0 15:57 ?        00:00:00 /usr/sbin/kerneloops
root        2315       2  0 15:57 ?        00:00:00 [kworker/R-iprt-]
root        2316       2  0 15:57 ?        00:00:00 [iprt-VBoxTscThread]
root        2331       2  0 15:57 ?        00:00:00 [kworker/10:3-mm_percpu_wq]
root        2333    1715  0 15:57 ?        00:00:00 gdm-session-worker [pam/gdm-password]
lisa        2344       1  0 15:57 ?        00:00:01 /usr/lib/systemd/systemd --user
lisa        2348    2344  0 15:57 ?        00:00:00 (sd-pam)
lisa        2361    2344  0 15:57 ?        00:00:01 /usr/bin/pipewire
lisa        2362    2344  0 15:57 ?        00:00:00 /usr/bin/pipewire -c filter-chain.conf
lisa        2365    2344  0 15:57 ?        00:00:01 /usr/bin/wireplumber
lisa        2367    2344  0 15:57 ?        00:00:01 /usr/bin/pipewire-pulse
lisa        2368    2344  0 15:57 ?        00:00:00 /usr/bin/gnome-keyring-daemon --foreground --components=pkcs11,secrets --control-directory=/run/user/1000/keyring
lisa        2380    2344  0 15:57 ?        00:00:04 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
lisa        2415    2344  0 15:57 ?        00:00:00 /usr/libexec/xdg-document-portal
lisa        2419    2344  0 15:57 ?        00:00:00 /usr/libexec/xdg-permission-store
root        2426    2415  0 15:57 ?        00:00:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
lisa        2450    2333  0 15:57 tty2     00:00:00 /usr/libexec/gdm-wayland-session env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --session=ubuntu
lisa        2455    2450  0 15:57 tty2     00:00:00 /usr/libexec/gnome-session-binary --session=ubuntu
lisa        2533    2344  0 15:57 ?        00:00:00 /usr/libexec/gcr-ssh-agent --base-dir /run/user/1000/gcr
lisa        2535    2344  0 15:57 ?        00:00:00 /usr/libexec/gnome-session-ctl --monitor
lisa        2549    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfsd
lisa        2558    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
lisa        2565    2344  0 15:57 ?        00:00:00 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
lisa        2601    2565  0 15:57 ?        00:00:00 /usr/libexec/at-spi-bus-launcher --launch-immediately
lisa        2602    2344  4 15:57 ?        00:02:55 /usr/bin/gnome-shell
lisa        2617    2601  0 15:57 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus
lisa        2688    2344  0 15:57 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
lisa        2711    2344  0 15:57 ?        00:00:00 /usr/libexec/gnome-shell-calendar-server
lisa        2719    2344  0 15:57 ?        00:00:00 /usr/libexec/evolution-source-registry
lisa        2720    2344  0 15:57 ?        00:00:00 /usr/libexec/dconf-service
lisa        2734    2344  0 15:57 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
lisa        2753    2344  0 15:57 ?        00:00:04 /usr/bin/ibus-daemon --panel disable
lisa        2754    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-a11y-settings
lisa        2756    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-color
lisa        2759    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-datetime
lisa        2763    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-housekeeping
lisa        2767    2344  0 15:57 ?        00:00:00 /usr/libexec/goa-daemon
lisa        2768    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-keyboard
lisa        2769    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-media-keys
lisa        2774    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-power
lisa        2778    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-print-notifications
lisa        2779    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-rfkill
lisa        2780    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-screensaver-proxy
lisa        2786    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-sharing
lisa        2788    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-smartcard
lisa        2789    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-sound
lisa        2790    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-wacom
lisa        2803    2344  0 15:57 ?        00:00:01 /usr/libexec/gvfs-udisks2-volume-monitor
lisa        2811    2565  0 15:57 ?        00:00:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
lisa        2869    2565  0 15:57 ?        00:00:00 /usr/libexec/gsd-disk-utility-notify
lisa        2922    2344  0 15:57 ?        00:00:00 /usr/libexec/goa-identity-service
lisa        2926    2753  0 15:57 ?        00:00:00 /usr/libexec/ibus-memconf
lisa        2929    2753  0 15:57 ?        00:00:04 /usr/libexec/ibus-extension-gtk3
lisa        2933    2344  0 15:57 ?        00:00:00 /usr/libexec/gsd-printer
lisa        2936    2344  0 15:57 ?        00:00:03 /usr/libexec/ibus-portal
lisa        2964    2344  0 15:57 ?        00:00:00 /usr/libexec/evolution-calendar-factory
lisa        2995    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfs-gphoto2-volume-monitor
lisa        3005    2344  0 15:57 ?        00:00:00 /usr/libexec/evolution-addressbook-factory
lisa        3008    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfs-goa-volume-monitor
lisa        3016    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfs-afc-volume-monitor
lisa        3027    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfs-mtp-volume-monitor
lisa        3048    2753  0 15:57 ?        00:00:01 /usr/libexec/ibus-engine-simple
lisa        3075    2549  0 15:57 ?        00:00:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
lisa        3093    2344  0 15:57 ?        00:00:03 /usr/libexec/xdg-desktop-portal
lisa        3102    2344  0 15:57 ?        00:00:00 /usr/libexec/tracker-miner-fs-3
lisa        3107    2344  0 15:57 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gnome
lisa        3129    2344  0 15:57 ?        00:00:00 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
lisa        3131    2344  0 15:57 ?        00:00:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
lisa        3203    2602  0 15:57 ?        00:00:02 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
lisa        3266    2344  0 15:57 ?        00:00:00 /usr/libexec/xdg-desktop-portal-gtk
lisa        3267    3129  0 15:57 ?        00:00:00 /snap/snapd-desktop-integration/178/usr/bin/snapd-desktop-integration
lisa        3292    2344  0 15:57 ?        00:00:00 /usr/libexec/gvfsd-metadata
lisa        3448    2565  0 15:58 ?        00:00:00 /usr/bin/update-notifier
lisa        3543    2344  0 15:59 ?        00:00:00 /usr/bin/python3 /usr/bin/gnome-terminal --wait
lisa        3546    3543  0 15:59 ?        00:00:00 /usr/bin/gnome-terminal.real --wait
lisa        3552    2344  0 15:59 ?        00:00:01 /usr/libexec/gnome-terminal-server
lisa        3560    3552  0 15:59 pts/0    00:00:00 bash
lisa        3566    2602  9 15:59 ?        00:06:54 /snap/firefox/4848/usr/lib/firefox/firefox
lisa        3762    3566  0 15:59 ?        00:00:00 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -parentBuildID 20240829143845 -prefsLen 38324 -prefMapSize 256581 -appDir /snap/firefox/4848/usr/lib/firefox/browser {ee55ec28-307a-46a4-8600-337141c48e5a} 3566 true socket
lisa        3782    3566  0 15:59 ?        00:00:07 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 38465 -prefMapSize 256581 -jsInitLen 234840 -parentBuildID 20240829143845 -greomni /snap/firefox/4848/usr/lib/firefox/omni.ja -appomni /snap/firefox/4848/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4848/usr/lib/firefox/browser {0ccd9db4-8725-41a4-9856-458f16e66f9b} 3566 true tab
lisa        3831    2344  0 15:59 ?        00:00:00 /usr/bin/snap userd
lisa        3994    3566  5 15:59 ?        00:04:02 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -childID 2 -isForBrowser -prefsLen 44415 -prefMapSize 256581 -jsInitLen 234840 -parentBuildID 20240829143845 -greomni /snap/firefox/4848/usr/lib/firefox/omni.ja -appomni /snap/firefox/4848/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4848/usr/lib/firefox/browser {9f4a1a66-ae0b-425e-a24c-92785d64bcbd} 3566 true tab
lisa        4344    3566  0 15:59 ?        00:00:00 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -parentBuildID 20240829143845 -sandboxingKind 0 -prefsLen 44415 -prefMapSize 256581 -appDir /snap/firefox/4848/usr/lib/firefox/browser {22065415-7d19-4fde-a5d8-023386d30435} 3566 true utility
lisa        4353    3566  0 15:59 ?        00:00:15 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -childID 3 -isForBrowser -prefsLen 34303 -prefMapSize 256581 -jsInitLen 234840 -parentBuildID 20240829143845 -greomni /snap/firefox/4848/usr/lib/firefox/omni.ja -appomni /snap/firefox/4848/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4848/usr/lib/firefox/browser {a3b31341-decf-4543-8153-20ceb7762313} 3566 true tab
lisa        4357    3566  0 15:59 ?        00:00:09 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -childID 4 -isForBrowser -prefsLen 34303 -prefMapSize 256581 -jsInitLen 234840 -parentBuildID 20240829143845 -greomni /snap/firefox/4848/usr/lib/firefox/omni.ja -appomni /snap/firefox/4848/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4848/usr/lib/firefox/browser {064c3875-1a84-4754-87dd-bf8d832b2f8d} 3566 true tab
lisa        4388    3566  0 15:59 ?        00:00:32 /snap/firefox/4848/usr/lib/firefox/firefox -contentproc -childID 5 -isForBrowser -prefsLen 34303 -prefMapSize 256581 -jsInitLen 234840 -parentBuildID 20240829143845 -greomni /snap/firefox/4848/usr/lib/firefox/omni.ja -appomni /snap/firefox/4848/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4848/usr/lib/firefox/browser {e9a5ffd1-9b90-4cc9-9ba0-89dcd5c60302} 3566 true tab
